num,lmjr,ccnn,ldz,lsjr,tmm,cqsl,amypj,hdlq,bwbj,rsnzdxx,lsn,ht,fsx,hxqj,mrwt,dlr,tsddz,ylzj,ydm,hxldnyy,dmkj,hkdg,yt
1,4,2,5,0,4,0,0,0,5,3,0,3,4,0,0,0,4,3,0,0,0,0,0
2,4,0,0,0,0,0,5,0,5,0,0,4,5,0,0,3,0,3,4,4,5,4,0
3,4,3,5,5,5,5,5,5,5,5,5,4,5,0,4,4,4,0,4,4,5,0,0
4,5,5,3,0,0,0,4,0,0,0,0,5,4,4,0,5,4,0,4,0,5,5,0
5,4,2,4,4,4,0,0,3,5,0,3,0,4,2,0,0,5,3,3,0,4,4,4
6,5,0,0,5,4,0,0,5,4,0,0,0,0,0,0,0,3,4,0,0,0,0,0
7,5,5,5,5,5,5,5,5,5,0,5,4,4,0,4,4,5,0,0,0,4,5,0
8,5,0,5,5,0,0,5,5,5,0,0,4,0,0,0,0,3,0,4,0,3,4,0
9,5,0,0,5,4,0,0,5,5,0,0,4,4,0,0,0,3,0,0,0,4,0,0
10,0,2,0,0,0,0,4,0,5,5,3,0,0,0,0,0,3,4,0,0,5,0,3
11,4,2,0,0,0,4,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,4,0
12,0,0,0,5,5,0,0,0,5,5,0,0,3,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,5,0,5,4,0
14,5,5,0,0,5,5,0,5,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0
15,5,0,5,0,0,0,5,0,5,0,0,0,5,0,0,5,5,0,5,0,5,5,0
16,5,0,0,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,5,5,5,5,5,0,5,5,5,0,0,0,0,0,0,0,5,0,0,0,5,0,0
18,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0
19,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,4,0